frame,cluster,type,recommended_role,n_pyr_atoms,n_water_molecules,n_total_atoms,calculation_level,xyz_file,note
0,PYR2,monomer,site_energy,26,25,126,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR2_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
0,PYR3,monomer,site_energy,26,19,102,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR3_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
0,PYR4,monomer,site_energy,26,22,114,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR4_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
0,PYR5,monomer,site_energy,26,30,146,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR5_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
0,PYR2_PYR3,pair,coupling,52,44,228,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR2_PYR3_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
0,PYR3_PYR4,pair,coupling,52,41,216,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR3_PYR4_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
0,PYR4_PYR5,pair,coupling,52,52,260,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame000_PYR4_PYR5_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
10,PYR2,monomer,site_energy,26,41,190,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR2_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
10,PYR3,monomer,site_energy,26,40,186,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR3_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
10,PYR4,monomer,site_energy,26,43,198,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR4_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
10,PYR5,monomer,site_energy,26,38,178,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR5_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
10,PYR2_PYR3,pair,coupling,52,81,376,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR2_PYR3_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
10,PYR3_PYR4,pair,coupling,52,83,384,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR3_PYR4_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
10,PYR4_PYR5,pair,coupling,52,81,376,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR4_PYR5_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
20,PYR2,monomer,site_energy,26,47,214,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR2_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
20,PYR3,monomer,site_energy,26,42,194,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR3_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
20,PYR4,monomer,site_energy,26,48,218,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR4_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
20,PYR5,monomer,site_energy,26,47,214,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR5_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
20,PYR2_PYR3,pair,coupling,52,89,408,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR2_PYR3_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
20,PYR3_PYR4,pair,coupling,52,90,412,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR3_PYR4_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
20,PYR4_PYR5,pair,coupling,52,95,432,pilot_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR4_PYR5_water5A.xyz,Geometry extracted from 100 ps accepted MD trajectory; water shell is explicit in XYZ but should be reduced or converted to embedding before systematic TDDFT.
