gate,pass
Gate3O_failed_only_the_non_equivalent_aperture_comparison,True
Gate3O1_confirmed_all_nuclear_aperture_metrics_exceed_effective_target,True
heavy_embedding_contains_2112_heavy_nodes,True
heavy_embedding_contains_120_exact_bridge_nodes,True
heavy_embedding_contains_3066_heavy_edges,True
heavy_embedding_has_zero_clashes,True
heavy_embedding_minimum_angle_is_at_least70deg,True
heavy_embedding_BN_deviation_is_at_most0p003nm,True
fixed_coordinates_are_unchanged,True
lower_upper_heavy_geometry_is_symmetric,True
target_is_explicitly_classified_as_effective_5kBT_aperture,True
heavy_nuclear_aperture_is_not_relabelled_as_effective_5kBT_aperture,True
204_H_coordinates_are_still_pending,True
