source_id,year,title,journal,DOI,model_name,model_family,primary_training_or_reference,explicit_B,explicit_N,explicit_H,reactive,polarizable,curved_BNNT_validation,water_validation,source_status
SRC_0001,2018,Ab Initio Molecular Dynamics and Lattice Dynamics-Based Force Field for Modeling Hexagonal Boron Nitride in Mechanical and Interfacial Applications,The Journal of Physical Chemistry Letters,10.1021/acs.jpclett.7b03443,RAJAN_HBN_CLASSICAL_FF,FIXED_TOPOLOGY_CLASSICAL,DFT-based ab initio MD and lattice dynamics,True,True,False,False,False,UNCONFIRMED,PARTIAL_OR_INTERFACIAL,PRIMARY_SOURCE_IDENTIFIED
SRC_0002,2016,Hexagonal boron nitride and water interaction parameters,The Journal of Chemical Physics,10.1063/1.4947094,WU_HBN_WATER,NONBONDED_HBN_WATER,DMC-validated RPA water-hBN interaction energies,True,True,WATER_H_ONLY,False,False,NO,YES_CONTACT_ANGLE,PRIMARY_SOURCE_IDENTIFIED
SRC_0003,2005,The theoretical study on interaction of hydrogen with single-walled boron nitride nanotubes,The Journal of Chemical Physics,10.1063/1.1999628,HYDROGEN_BNNT_THEORETICAL_STUDY,QUANTUM_THEORETICAL_REFERENCE,Theoretical hydrogen–BNNT interaction study; not an identified ReaxFF parameter-development source,True,True,True,False,False,THEORETICAL_REFERENCE_ONLY,NO,PRIMARY_REFERENCE_RECLASSIFIED_NOT_FORCE_FIELD
SRC_0004,2025,Molecular dynamics simulations of functionalized nanoporous hexagonal boron nitride membranes: Ab initio force field and implications for water desalination,The Journal of Chemical Physics,10.1063/5.0242541,GHORAI_FUNCTIONALIZED_HBN,DFT_FITTED_FIXED_TOPOLOGY_AQUEOUS_EDGE_FF,DFT/AIMD and potential-energy-surface fitting; borazine reference for H functionalization,True,True,True,False,UNCONFIRMED,NO,YES,PRIMARY_SOURCE_IDENTIFIED
SRC_0005,2020,Machine Learning Potential for Hexagonal Boron Nitride Applied to Thermally and Mechanically Induced Rippling,The Journal of Physical Chemistry C,10.1021/acs.jpcc.0c05831,HBN_GAP,MACHINE_LEARNING_INTERATOMIC,DFT configuration training set,True,True,False,WITHIN_BN_TRAINING_DOMAIN,False,YES,NO,PRIMARY_SOURCE_IDENTIFIED
SRC_0006,2023,Anisotropic Interfacial Force Field for Interfaces of Water with Hexagonal Boron Nitride,Langmuir,10.1021/acs.langmuir.3c01612,FENG_ANISOTROPIC_HBN_WATER,ANISOTROPIC_INTERFACIAL_NONBONDED,SCAN binding curves and sliding energy surfaces,True,True,WATER_H_ONLY,False,False,NO,YES,PRIMARY_SOURCE_IDENTIFIED
SRC_0007,2024,Water Electric Field Induced Modulation of the Wetting of Hexagonal Boron Nitride: Insights from Multiscale Modeling of Many-Body Polarization,ACS Nano,10.1021/acsnano.3c09811,Luo_DRUDE_HBN_WATER,POLARIZABLE_DRUDE_INTERFACIAL,Anisotropic hBN polarizability and water-hBN binding reference data,True,True,WATER_H_ONLY,False,True,NO,YES,PRIMARY_SOURCE_IDENTIFIED
SRC_0008,2023,"Boron Nitride Nanotubes: Force Field Parameterization, Epoxy Interactions, and Comparison with Carbon Nanotubes for High-Performance Composite Materials",ACS Applied Nano Materials,10.1021/acsanm.2c05285,IFF_R_BNNT,INTERFACE_FORCE_FIELD_REACTIVE_EXTENSION,BNNT/interface parameterization and composite interfacial validation,True,True,UNCONFIRMED,IFF_R_FORMALISM,VIRTUAL_ELECTRON_FORMALISM,YES,NO,PRIMARY_SOURCE_IDENTIFIED
SRC_0009,2011,Deformation behaviors of an armchair boron-nitride nanotube under axial tensile strains,Journal of Applied Physics,10.1063/1.3626065,BNNT_TERSOFF_FORCE_MATCHED,TERSOFF_BOND_ORDER,DFT-assisted force matching for BNNT mechanics,True,True,False,BOND_ORDER_BN_ONLY,False,YES,NO,PRIMARY_SOURCE_IDENTIFIED
SRC_0010,2022,ReaxFF Force Field Development for Gas-Phase hBN Nanostructure Synthesis,The Journal of Physical Chemistry A,10.1021/acs.jpca.1c09648,LELE_GAS_PHASE_HBN_REAXFF,REACTIVE_REAXFF_BNH,Quantum reference data for gas-phase B/N/H chemistry and hBN nanostructure synthesis,True,True,True,True,QEQ_CHARGE_EQUILIBRATION,NOT_ESTABLISHED,NO,PRIMARY_SOURCE_IDENTIFIED_PARAMETER_FILE_REPORTED_IN_SI
