gate,pass
TPR_exists_and_is_nonempty,True
exactly_one_grompp_warning,True
warning_text_is_expected,True
no_fatal_error_after_authorization,True
grompp_used_exactly_maxwarn_1,True
temperature_groups_are_correct,True
tau_t_values_are_correct,True
reference_temperatures_are_300K,True
freeze_groups_are_correct,True
all_six_freeze_dimensions_are_active,True
SOL_has_positive_degrees_of_freedom,True
HBN_PYR_has_zero_degrees_of_freedom,True
CAPS_has_zero_degrees_of_freedom,True
expected_CAPL_unbound_note_is_present,True
expected_CAPU_unbound_note_is_present,True
expected_VCM_note_is_present,True
preparation_decision_is_pass,True
preparation_authorized_execution,True
