evidence_id,category,page,matched_text,snippet,R2_parameter_coverage_established
SI_EVID_0001,QUALITY_FACTOR,1,quality factor,"versity Park, PA 16802, USA b Institute for Advanced Computational Science, Stony Brook University, Stony Brook, NY 11794, USA Corresponding author*: acv13@psu.edu S1: Calculating quality factor of boron nitride nanostructures Along with the size of BNNS, it is also important to determine its quality. We consider that any discontinuity in the continuous form of ring struc",False
SI_EVID_0002,QUALITY_FACTOR,1,quality factor,"membered rings and defects degrade the quality of the BNNS. All these factors typically result in reducing the number of 6-membered rings in the structure. Hence, to determine the quality factor, we compare the optimal number of 6-membered rings possible with the actual number of 6- membered rings in the structure. Figure A.1 briefly explains the calculation of optimal nu",False
SI_EVID_0003,QUALITY_FACTOR,2,quality factor,"S2 Figure S.1 Rationale behind quality factor calculations Hence, for n number of particles, the optimal number of 6-membered rings formed can be calculated as Maximum number of hexagons for n particles Equation S.1 = (𝑛― 10)",False
SI_EVID_0004,QUALITY_FACTOR,2,quality factor,"for n number of particles, the optimal number of 6-membered rings formed can be calculated as Maximum number of hexagons for n particles Equation S.1 = (𝑛― 10) 3 +2 Therefore, the quality factor can be defined using a simple expression Quality Factor (QF) Equation S.2 = 𝐴𝑐𝑡𝑢𝑎𝑙 𝑛𝑢𝑚𝑏𝑒𝑟 𝑜𝑓 ℎ𝑒𝑥𝑎𝑔𝑜𝑛𝑠 𝑀𝑎𝑥𝑖𝑚𝑢𝑚 # 𝑜𝑓 ℎ𝑒𝑥𝑎𝑔𝑜𝑛𝑠 This can be extended to calculate the quality of an ent",False
SI_EVID_0005,QUALITY_FACTOR,2,Quality Factor,"red rings formed can be calculated as Maximum number of hexagons for n particles Equation S.1 = (𝑛― 10) 3 +2 Therefore, the quality factor can be defined using a simple expression Quality Factor (QF) Equation S.2 = 𝐴𝑐𝑡𝑢𝑎𝑙 𝑛𝑢𝑚𝑏𝑒𝑟 𝑜𝑓 ℎ𝑒𝑥𝑎𝑔𝑜𝑛𝑠 𝑀𝑎𝑥𝑖𝑚𝑢𝑚 # 𝑜𝑓 ℎ𝑒𝑥𝑎𝑔𝑜𝑛𝑠 This can be extended to calculate the quality of an entire simulations frame by mass averaging the quality fact",False
SI_EVID_0006,QUALITY_FACTOR,2,quality factor,ality Factor (QF) Equation S.2 = 𝐴𝑐𝑡𝑢𝑎𝑙 𝑛𝑢𝑚𝑏𝑒𝑟 𝑜𝑓 ℎ𝑒𝑥𝑎𝑔𝑜𝑛𝑠 𝑀𝑎𝑥𝑖𝑚𝑢𝑚 # 𝑜𝑓 ℎ𝑒𝑥𝑎𝑔𝑜𝑛𝑠 This can be extended to calculate the quality of an entire simulations frame by mass averaging the quality factor of all the species present in the simulations. Overall Quality Factor (QF) Equation S.3 = ∑𝑎𝑙𝑙 𝑠𝑝𝑒𝑐𝑖𝑒𝑠𝑚𝑎𝑠𝑠 𝑓𝑟𝑎𝑐𝑡𝑖𝑜𝑛∗𝑄𝐹 S2: 4 ns simulation snapshot of the borazine precursor simul,False
SI_EVID_0007,QUALITY_FACTOR,2,Quality Factor,𝑓 ℎ𝑒𝑥𝑎𝑔𝑜𝑛𝑠 This can be extended to calculate the quality of an entire simulations frame by mass averaging the quality factor of all the species present in the simulations. Overall Quality Factor (QF) Equation S.3 = ∑𝑎𝑙𝑙 𝑠𝑝𝑒𝑐𝑖𝑒𝑠𝑚𝑎𝑠𝑠 𝑓𝑟𝑎𝑐𝑡𝑖𝑜𝑛∗𝑄𝐹 S2: 4 ns simulation snapshot of the borazine precursor simulation at 2000 K. Figure S.2 Simulation screenshot of the hBN structure,False
SI_EVID_0008,QUALITY_FACTOR,2,Maximum number of hexagons,"S2 Figure S.1 Rationale behind quality factor calculations Hence, for n number of particles, the optimal number of 6-membered rings formed can be calculated as Maximum number of hexagons for n particles Equation S.1 = (𝑛― 10) 3 +2 Therefore, the quality factor can be defined using a simple expression Quality Factor (QF) Equation S.2 = 𝐴𝑐𝑡𝑢𝑎𝑙 𝑛𝑢𝑚𝑏𝑒𝑟 𝑜𝑓 ℎ𝑒𝑥𝑎𝑔𝑜𝑛𝑠 𝑀𝑎𝑥",False
SI_EVID_0009,BORAZINE_SNAPSHOT,2,borazine,aging the quality factor of all the species present in the simulations. Overall Quality Factor (QF) Equation S.3 = ∑𝑎𝑙𝑙 𝑠𝑝𝑒𝑐𝑖𝑒𝑠𝑚𝑎𝑠𝑠 𝑓𝑟𝑎𝑐𝑡𝑖𝑜𝑛∗𝑄𝐹 S2: 4 ns simulation snapshot of the borazine precursor simulation at 2000 K. Figure S.2 Simulation screenshot of the hBN structure formed at the end of the borazine precursor simulation at 2000 K and 4 ns simulation time.,False
SI_EVID_0010,BORAZINE_SNAPSHOT,2,borazine,𝑠𝑝𝑒𝑐𝑖𝑒𝑠𝑚𝑎𝑠𝑠 𝑓𝑟𝑎𝑐𝑡𝑖𝑜𝑛∗𝑄𝐹 S2: 4 ns simulation snapshot of the borazine precursor simulation at 2000 K. Figure S.2 Simulation screenshot of the hBN structure formed at the end of the borazine precursor simulation at 2000 K and 4 ns simulation time.,False
SI_EVID_0011,BORAZINE_SNAPSHOT,2,2000 K,he species present in the simulations. Overall Quality Factor (QF) Equation S.3 = ∑𝑎𝑙𝑙 𝑠𝑝𝑒𝑐𝑖𝑒𝑠𝑚𝑎𝑠𝑠 𝑓𝑟𝑎𝑐𝑡𝑖𝑜𝑛∗𝑄𝐹 S2: 4 ns simulation snapshot of the borazine precursor simulation at 2000 K. Figure S.2 Simulation screenshot of the hBN structure formed at the end of the borazine precursor simulation at 2000 K and 4 ns simulation time.,False
SI_EVID_0012,BORAZINE_SNAPSHOT,2,2000 K,simulation snapshot of the borazine precursor simulation at 2000 K. Figure S.2 Simulation screenshot of the hBN structure formed at the end of the borazine precursor simulation at 2000 K and 4 ns simulation time.,False
SI_EVID_0013,BORAZINE_SNAPSHOT,2,4 ns,e simulations frame by mass averaging the quality factor of all the species present in the simulations. Overall Quality Factor (QF) Equation S.3 = ∑𝑎𝑙𝑙 𝑠𝑝𝑒𝑐𝑖𝑒𝑠𝑚𝑎𝑠𝑠 𝑓𝑟𝑎𝑐𝑡𝑖𝑜𝑛∗𝑄𝐹 S2: 4 ns simulation snapshot of the borazine precursor simulation at 2000 K. Figure S.2 Simulation screenshot of the hBN structure formed at the end of the borazine precursor simulation at,False
SI_EVID_0014,BORAZINE_SNAPSHOT,2,4 ns,snapshot of the borazine precursor simulation at 2000 K. Figure S.2 Simulation screenshot of the hBN structure formed at the end of the borazine precursor simulation at 2000 K and 4 ns simulation time.,False
