center_element,center_type,region,center_count,scientific_risk,risk_basis,lele_2022_reaxff_status,lele_2022_reaxff_basis,fixed_topology_status,fixed_topology_basis,QM_reference_status,QM_reference_basis,improper_assignment_authorized
B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,60,HIGH,Novel four-atom B-N-B-N bridge and attachment environment.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,Lele contains B/N/H reactive records but no direct R2 bridge validation.,FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
B,ANNULUS_INNER_BOUNDARY,ANNULUS_EDGE,12,HIGH,Reconstructed polar edge/rim environment with termination sensitivity.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,84,MEDIUM_HIGH,Reconstructed annulus environment outside ordinary bulk h-BN.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
B,ANNULUS_OUTER_BOUNDARY,ANNULUS_EDGE,30,HIGH,Reconstructed polar edge/rim environment with termination sensitivity.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
B,HEXAGONAL_EDGE_COMPLETION_SEED,SEED_EDGE,30,HIGH,Environment does not map unambiguously to a validated literature domain.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,No direct validation match identified.,SOURCE_EVIDENCE_PENDING,No primary-source fixed-topology evidence has yet been mapped.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
B,PARENT_HBN,PARENT_HBN_BULK_LIKE,810,MEDIUM,Bulk-like curved h-BN may be transferable but curvature must be validated.,BN_REACTIVE_RECORDS_PRESENT_EQUILIBRIUM_CURVATURE_NOT_VALIDATED,BN formation capability is not equivalent to equilibrium BNNT mechanics.,POTENTIALLY_TRANSFERABLE_SOURCE_EVIDENCE_PENDING,Bulk or curved h-BN fixed-topology models may cover this domain.,QM_REFERENCE_RECOMMENDED,Reference calculations are recommended to test transferability.,False
B,PARENT_HBN,PARENT_SEED_ATTACHMENT,30,MEDIUM,Bulk-like curved h-BN may be transferable but curvature must be validated.,BN_REACTIVE_RECORDS_PRESENT_EQUILIBRIUM_CURVATURE_NOT_VALIDATED,BN formation capability is not equivalent to equilibrium BNNT mechanics.,POTENTIALLY_TRANSFERABLE_SOURCE_EVIDENCE_PENDING,Bulk or curved h-BN fixed-topology models may cover this domain.,QM_REFERENCE_RECOMMENDED,Reference calculations are recommended to test transferability.,False
N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,60,HIGH,Novel four-atom B-N-B-N bridge and attachment environment.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,Lele contains B/N/H reactive records but no direct R2 bridge validation.,FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
N,ANNULUS_INNER_BOUNDARY,ANNULUS_EDGE,12,HIGH,Reconstructed polar edge/rim environment with termination sensitivity.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
N,ANNULUS_INTERIOR,ANNULUS_INTERIOR,84,MEDIUM_HIGH,Reconstructed annulus environment outside ordinary bulk h-BN.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
N,ANNULUS_OUTER_BOUNDARY,ANNULUS_EDGE,30,HIGH,Reconstructed polar edge/rim environment with termination sensitivity.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,"Lele was trained for gas-phase synthesis, not reconstructed equilibrium rims.",FUNCTIONALIZED_HBN_SOURCE_EVIDENCE_PENDING,Requires direct audit of H/OH-functionalized h-BN source parameters.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
N,HEXAGONAL_EDGE_COMPLETION_SEED,SEED_EDGE,30,HIGH,Environment does not map unambiguously to a validated literature domain.,ELEMENTAL_RECORDS_PRESENT_TRANSFERABILITY_NOT_ESTABLISHED,No direct validation match identified.,SOURCE_EVIDENCE_PENDING,No primary-source fixed-topology evidence has yet been mapped.,QM_REFERENCE_REQUIRED_HIGH_PRIORITY,Dedicated fragment reference data are required before parameter assignment.,False
N,PARENT_HBN,PARENT_HBN_BULK_LIKE,810,MEDIUM,Bulk-like curved h-BN may be transferable but curvature must be validated.,BN_REACTIVE_RECORDS_PRESENT_EQUILIBRIUM_CURVATURE_NOT_VALIDATED,BN formation capability is not equivalent to equilibrium BNNT mechanics.,POTENTIALLY_TRANSFERABLE_SOURCE_EVIDENCE_PENDING,Bulk or curved h-BN fixed-topology models may cover this domain.,QM_REFERENCE_RECOMMENDED,Reference calculations are recommended to test transferability.,False
N,PARENT_HBN,PARENT_SEED_ATTACHMENT,30,MEDIUM,Bulk-like curved h-BN may be transferable but curvature must be validated.,BN_REACTIVE_RECORDS_PRESENT_EQUILIBRIUM_CURVATURE_NOT_VALIDATED,BN formation capability is not equivalent to equilibrium BNNT mechanics.,POTENTIALLY_TRANSFERABLE_SOURCE_EVIDENCE_PENDING,Bulk or curved h-BN fixed-topology models may cover this domain.,QM_REFERENCE_RECOMMENDED,Reference calculations are recommended to test transferability.,False
